PEDIDO;PRODUTO;QUANTIDADE;PREÇO UNITÁRIO;DATA E HORA COMPRA;CIDADE;CÓDIGO CLIENTE
248219;Fones de ouvido Bose SoundSport;1;514,94;04/02/2023 01:39;São Paulo;90001
248219;Xiaomi Redmi 10;1;3090;21/06/2023 20:21;São Paulo;90001
248220;Cabo de carregamento Lightning;2;76,99;23/03/2023 12:26;Fortaleza;94016
248221;Pilhas AA (pacote com 4);1;19,77;16/07/2023 13:36;São Paulo;90001
248222;Cabo de carregamento Lightning;1;76,99;29/08/2023 07:42;Fortaleza;94016
248223;Monitor de 20 polegadas;1;566,44;22/09/2023 09:24;Belo Horizonte;98101
248224;Baterias AAA (pacote com 4);2;15,39;23/03/2023 15:34;Manaus;10001
248225;Cabo de carregamento Lightning;1;76,99;20/10/2022 23:24;Fortaleza;94016
248226;Fones de ouvido com fio;1;61,74;03/10/2023 10:18;Salvador;2215
248227;Cabo de carregamento Lightning;1;76,99;02/07/2023 11:43;Rio de Janeiro;73301
248228;Cabo de carregamento Lightning;1;76,99;30/10/2022 04:48;Salvador;2215
248229;Fones de ouvido com fio;1;61,74;25/08/2023 03:49;Fortaleza;94016
248230;Pilhas AA (pacote com 4);1;19,77;01/06/2023 02:42;Fortaleza;94016
248231;TV de tela plana;1;1545;10/12/2022 07:09;São Paulo;90001
248232;Cabo de carregamento Lightning;1;76,99;27/05/2023 18:30;São Paulo;90001
248233;Baterias AAA (pacote com 4);1;15,39;03/06/2023 09:00;Florianópolis;75001
248234;Monitor ultralargo de 34 pol.;1;1956,94;15/04/2023 13:40;Fortaleza;94016
248235;Cabo de carregamento Lightning;1;76,99;14/09/2023 02:32;Fortaleza;94016
248236;Cabo de carregamento Lightning;1;76,99;17/06/2023 04:30;Salvador;2215
248237;Fones de ouvido com fio;1;61,74;24/11/2022 22:00;Manaus;10001
248238;Fones de ouvido com fio;1;61,74;04/08/2023 15:17;São Paulo;90001
248239;Fones de ouvido com fio;1;61,74;12/02/2023 15:12;São Paulo;90001
248240;Baterias AAA (pacote com 4);1;15,39;29/10/2022 03:18;Fortaleza;94016
248241;Pilhas AA (pacote com 4);2;19,77;04/06/2023 21:50;Belo Horizonte;98101
248242;Cabo de carregamento Lightning;2;76,99;07/12/2022 10:46;Fortaleza;94016
248243;Cabo de carregamento USB-C;1;61,54;04/10/2023 09:24;Fortaleza;94016
248244;Cabo de carregamento Lightning;1;76,99;16/05/2023 09:32;Florianópolis;75001
248245;Fones de ouvido com fio;1;61,74;21/08/2023 09:19;Florianópolis;75001
248246;Fones de ouvido com fio;1;61,74;25/12/2022 02:28;São Paulo;90001
248247;Monitor para jogos 4K de 27 polegadas;1;2008,44;01/06/2023 10:59;Manaus;10001
248248;Fones de ouvido Apple Airpods;1;772,5;13/02/2023 14:51;Manaus;10001
248249;Pilhas AA (pacote com 4);1;19,77;09/02/2023 12:25;Belo Horizonte;98101
248250;iPhone;1;9890;03/08/2023 02:01;Belo Horizonte;98101
248251;Telefone Motorola X;1;2060;17/06/2023 09:03;Florianópolis;75001
248252;Pilhas AA (pacote com 4);1;19,77;30/11/2022 08:32;Florianópolis;75001
248253;Fones de ouvido Bose SoundSport;1;514,94;03/05/2023 03:38;Campinas;30301
248254;Baterias AAA (pacote com 4);2;15,39;07/01/2023 08:44;Fortaleza;94016
248255;Fones de ouvido Bose SoundSport;1;514,94;24/09/2023 14:06;Belo Horizonte;98101
248256;Fones de ouvido com fio;1;61,74;28/09/2023 23:14;Fortaleza;94016
248257;Cabo de carregamento USB-C;2;61,54;11/01/2023 05:01;Salvador;2215
248258;Laptop Macbook Pro;1;8755;19/04/2023 07:27;São Paulo;90001
248259;Cabo de carregamento USB-C;1;61,54;30/04/2023 09:39;São Paulo;90001
248260;Fones de ouvido Apple Airpods;1;772,5;12/07/2023 10:18;Bahia;4101
248261;Baterias AAA (pacote com 4);2;15,39;31/07/2023 08:35;Fortaleza;94016
248262;Monitor de 20 polegadas;1;566,44;22/06/2023 17:54;Belo Horizonte;98101
248263;Monitor ultralargo de 34 pol.;1;1956,94;23/07/2023 02:33;Manaus;10001
248264;Fones de ouvido Bose SoundSport;1;514,94;20/11/2022 05:35;Florianópolis;75001
248265;Telefone Motorola X;1;2060;18/02/2023 05:38;Fortaleza;94016
248265;Fones de ouvido Bose SoundSport;1;514,94;21/08/2023 14:16;Fortaleza;94016
248266;Monitor para jogos 4K de 27 polegadas;1;2008,44;16/07/2023 09:05;Florianópolis;75001
248267;Laptop Macbook Pro;1;8755;06/09/2023 16:40;São Paulo;90001
248268;Cabo de carregamento Lightning;1;76,99;29/05/2023 01:57;São Paulo;90001
248269;Cabo de carregamento Lightning;1;76,99;19/04/2023 18:02;Campinas;30301
248270;Cabo de carregamento USB-C;1;61,54;02/08/2023 10:55;Fortaleza;94016
248271;Monitor ultralargo de 34 pol.;1;1956,94;17/05/2023 19:58;Salvador;2215
248272;Laptop ThinkPad;1;5149,94;02/07/2023 19:35;Florianópolis;75001
248273;Pilhas AA (pacote com 4);1;19,77;16/10/2022 11:26;Belo Horizonte;98101
248274;Pilhas AA (pacote com 4);1;19,77;04/01/2023 20:47;Salvador;2215
248275;Fones de ouvido Apple Airpods;1;772,5;21/09/2023 02:06;Florianópolis;75001
248276;iPhone;1;9890;11/11/2022 12:41;Manaus;10001
248277;Laptop Macbook Pro;1;8755;25/11/2022 02:11;Manaus;10001
248278;Fones de ouvido com fio;1;61,74;01/08/2023 06:19;Florianópolis;75001
248279;Fones de ouvido Bose SoundSport;1;514,94;11/07/2023 19:18;Campinas;30301
248280;Monitor FHD de 27 polegadas;1;772,44;04/05/2023 21:03;São Paulo;90001
248281;Fones de ouvido com fio;1;61,74;08/12/2022 05:52;São Paulo;90001
248282;Fones de ouvido Apple Airpods;1;772,5;18/11/2022 00:37;Salvador;2215
248283;Fones de ouvido Apple Airpods;1;772,5;18/09/2023 06:59;Campinas;30301
248284;Monitor para jogos 4K de 27 polegadas;1;2008,44;03/10/2023 02:04;São Paulo;90001
248285;Fones de ouvido Apple Airpods;1;772,5;19/06/2023 04:56;Bahia;97035
248286;Fones de ouvido com fio;1;61,74;09/10/2023 01:56;Manaus;10001
248287;Fones de ouvido Bose SoundSport;1;514,94;20/09/2023 16:24;Bahia;97035
248288;Fones de ouvido Bose SoundSport;1;514,94;14/10/2022 15:29;Fortaleza;94016
248289;Fones de ouvido com fio;1;61,74;05/05/2023 16:29;Florianópolis;75001
248290;Pilhas AA (pacote com 4);1;19,77;08/10/2023 21:14;Fortaleza;94016
248291;Fones de ouvido Apple Airpods;1;772,5;25/04/2023 11:07;Fortaleza;94016
248292;Fones de ouvido com fio;2;61,74;11/06/2023 23:30;Fortaleza;94016
248293;Laptop Macbook Pro;1;8755;28/07/2023 00:22;Manaus;10001
248294;Laptop Macbook Pro;1;8755;03/05/2023 12:32;Bahia;97035
248295;Laptop Macbook Pro;1;8755;31/05/2023 21:16;Fortaleza;94016
248296;Pilhas AA (pacote com 4);1;19,77;15/03/2023 04:52;Salvador;2215
248297;Baterias AAA (pacote com 4);2;15,39;27/06/2023 07:09;Fortaleza;94016
248298;Pilhas AA (pacote com 4);1;19,77;11/11/2022 18:42;Campinas;30301
248299;Cabo de carregamento Lightning;1;76,99;05/12/2022 03:25;Bahia;97035
248300;Baterias AAA (pacote com 4);1;15,39;08/01/2023 10:21;Salvador;2215
248301;Baterias AAA (pacote com 4);2;15,39;28/06/2023 07:40;Manaus;10001
248302;Monitor para jogos 4K de 27 polegadas;1;2008,44;04/09/2023 10:42;Salvador;2215
248303;Monitor de 20 polegadas;1;566,44;14/04/2023 07:48;Florianópolis;75001
248304;Baterias AAA (pacote com 4);1;15,39;25/03/2023 06:50;Campinas;30301
248305;Cabo de carregamento Lightning;1;76,99;29/08/2023 05:28;Salvador;2215
248306;Cabo de carregamento USB-C;1;61,54;17/05/2023 06:44;Manaus;10001
248307;Fones de ouvido com fio;1;61,74;15/10/2022 21:07;Fortaleza;94016
248308;Monitor para jogos 4K de 27 polegadas;1;2008,44;07/04/2023 09:14;São Paulo;90001
248309;iPhone;1;9890;18/01/2023 06:07;Belo Horizonte;98101
248310;iPhone;1;9890;19/11/2022 00:03;Rio de Janeiro;73301
248311;Pilhas AA (pacote com 4);1;19,77;15/08/2023 02:56;São Paulo;90001
248312;Cabo de carregamento USB-C;1;61,54;05/06/2023 10:56;Manaus;10001
248313;Cabo de carregamento Lightning;1;76,99;25/03/2023 11:31;São Paulo;90001
248314;Fones de ouvido com fio;1;61,74;08/08/2023 14:42;Campinas;30301
248315;Fones de ouvido com fio;1;61,74;08/01/2023 21:29;Fortaleza;94016
248316;Cabo de carregamento Lightning;1;76,99;15/03/2023 16:25;Fortaleza;94016
248317;Baterias AAA (pacote com 4);1;15,39;29/05/2023 10:08;Bahia;4101
248318;Xiaomi Redmi 10;1;3090;13/04/2023 12:05;Rio de Janeiro;73301
248319;Baterias AAA (pacote com 4);3;15,39;12/07/2023 21:24;Belo Horizonte;98101
248320;Fones de ouvido Apple Airpods;1;772,5;22/05/2023 19:35;Campinas;30301
248321;Fones de ouvido Bose SoundSport;1;514,94;04/05/2023 17:37;Belo Horizonte;98101
248322;Pilhas AA (pacote com 4);2;19,77;01/04/2023 20:29;Fortaleza;94016
248323;Xiaomi Redmi 10;1;3090;20/07/2023 07:14;Bahia;97035
248323;Fones de ouvido Bose SoundSport;1;514,94;20/08/2023 15:13;Bahia;97035
248324;Monitor de 20 polegadas;1;566,44;20/09/2023 19:16;Florianópolis;75001
248325;Cabo de carregamento Lightning;1;76,99;28/04/2023 10:25;Fortaleza;94016
248326;Fones de ouvido Apple Airpods;1;772,5;06/01/2023 12:15;Manaus;10001
248327;Monitor ultralargo de 34 pol.;1;1956,94;11/06/2023 15:48;Fortaleza;94016
248328;Fones de ouvido Apple Airpods;1;772,5;29/10/2022 00:02;Fortaleza;94016
248329;Telefone Motorola X;1;2060;24/06/2023 23:02;Rio de Janeiro;73301
248329;Fones de ouvido com fio;1;61,74;10/11/2022 11:59;Rio de Janeiro;73301
248330;Baterias AAA (pacote com 4);1;15,39;07/06/2023 08:32;Belo Horizonte;98101
248331;iPhone;1;9890;30/10/2022 04:26;Fortaleza;94016
248331;Cabo de carregamento Lightning;1;76,99;01/08/2023 15:40;Fortaleza;94016
248331;Fones de ouvido Apple Airpods;1;772,5;12/12/2022 23:07;Fortaleza;94016
248332;Fones de ouvido Apple Airpods;1;772,5;14/02/2023 13:50;Belo Horizonte;98101
248333;TV de tela plana;1;1545;04/03/2023 12:33;São Paulo;90001
248334;Cabo de carregamento Lightning;1;76,99;26/01/2023 15:22;Campinas;30301
248335;Fones de ouvido Apple Airpods;1;772,5;19/01/2023 07:33;Manaus;10001
248336;Fones de ouvido Apple Airpods;1;772,5;21/12/2022 11:51;Campinas;30301
248337;Pilhas AA (pacote com 4);1;19,77;25/12/2022 03:14;Bahia;97035
248338;Cabo de carregamento USB-C;1;61,54;26/05/2023 19:24;Salvador;2215
248339;Fones de ouvido Bose SoundSport;1;514,94;05/01/2023 05:56;Fortaleza;94016
248340;Baterias AAA (pacote com 4);1;15,39;28/07/2023 15:11;Belo Horizonte;98101
248341;Cabo de carregamento USB-C;1;61,54;21/07/2023 06:10;São Paulo;90001
248342;Fones de ouvido Apple Airpods;1;772,5;08/07/2023 20:26;Manaus;10001
248343;Cabo de carregamento USB-C;1;61,54;31/03/2023 18:30;Campinas;30301
248344;Fones de ouvido com fio;1;61,74;19/01/2023 11:04;Manaus;10001
248345;Cabo de carregamento USB-C;1;61,54;08/01/2023 09:57;Campinas;30301
248346;Cabo de carregamento Lightning;1;76,99;09/10/2023 02:07;São Paulo;90001
248347;Pilhas AA (pacote com 4);1;19,77;16/10/2022 03:36;Manaus;10001
248348;Pilhas AA (pacote com 4);1;19,77;03/06/2023 15:11;Fortaleza;94016
248349;Fones de ouvido Bose SoundSport;1;514,94;29/10/2022 01:49;Salvador;2215
248350;iPhone;1;9890;25/11/2022 08:33;São Paulo;90001
248351;Monitor para jogos 4K de 27 polegadas;1;2008,44;19/10/2022 23:30;Manaus;10001
248352;Laptop Macbook Pro;1;8755;06/07/2023 14:07;Manaus;10001
248353;Fones de ouvido com fio;1;61,74;19/08/2023 00:15;Campinas;30301
248354;Laptop Macbook Pro;1;8755;14/09/2023 23:37;Campinas;30301
248355;Fones de ouvido Apple Airpods;1;772,5;03/12/2022 08:39;Manaus;10001
248356;Cabo de carregamento USB-C;2;61,54;04/05/2023 08:18;Fortaleza;94016
248357;Cabo de carregamento Lightning;1;76,99;03/10/2023 03:46;Campinas;30301
248358;Cabo de carregamento USB-C;1;61,54;22/09/2023 01:43;Bahia;4101
248359;Fones de ouvido Apple Airpods;1;772,5;15/09/2023 23:35;Fortaleza;94016
248360;Fones de ouvido Bose SoundSport;2;514,94;01/06/2023 16:23;Fortaleza;94016
248361;Fones de ouvido com fio;1;61,74;23/12/2022 00:56;Fortaleza;94016
248362;Fones de ouvido Apple Airpods;1;772,5;13/06/2023 03:16;Manaus;10001
248363;Monitor ultralargo de 34 pol.;1;1956,94;03/12/2022 23:19;São Paulo;90001
248364;Monitor FHD de 27 polegadas;1;772,44;05/02/2023 16:58;Manaus;10001
248365;Xiaomi Redmi 10;1;3090;13/05/2023 03:40;Florianópolis;75001
248366;Fones de ouvido Bose SoundSport;1;514,94;01/12/2022 01:14;Fortaleza;94016
248367;iPhone;1;9890;17/11/2022 16:20;Campinas;30301
248368;Baterias AAA (pacote com 4);3;15,39;14/02/2023 17:30;Fortaleza;94016
248369;Cabo de carregamento USB-C;1;61,54;18/11/2022 14:31;São Paulo;90001
248370;Monitor ultralargo de 34 pol.;1;1956,94;14/04/2023 13:45;Belo Horizonte;98101
248371;Fones de ouvido com fio;1;61,74;01/05/2023 16:23;Salvador;2215
248372;Cabo de carregamento Lightning;1;76,99;04/02/2023 13:26;Campinas;30301
248373;Cabo de carregamento USB-C;1;61,54;08/11/2022 04:02;Manaus;10001
248374;Pilhas AA (pacote com 4);1;19,77;29/04/2023 02:17;Fortaleza;94016
248375;Pilhas AA (pacote com 4);2;19,77;04/03/2023 21:23;Salvador;2215
248376;Monitor de 20 polegadas;1;566,44;02/03/2023 08:28;Fortaleza;94016
248377;Cabo de carregamento USB-C;1;61,54;11/07/2023 13:37;São Paulo;90001
248378;Cabo de carregamento Lightning;1;76,99;06/08/2023 00:14;São Paulo;90001
248379;Baterias AAA (pacote com 4);1;15,39;01/04/2023 12:24;Bahia;4101
248380;Baterias AAA (pacote com 4);1;15,39;05/03/2023 20:50;Manaus;10001
248381;Fones de ouvido Bose SoundSport;1;514,94;13/03/2023 12:41;Fortaleza;94016
248381;Monitor ultralargo de 34 pol.;1;1956,94;16/08/2023 22:42;Fortaleza;94016
248382;Baterias AAA (pacote com 4);1;15,39;05/04/2023 02:15;Fortaleza;94016
248383;Fones de ouvido com fio;1;61,74;07/11/2022 12:44;Salvador;2215
248384;Monitor de 20 polegadas;1;566,44;07/07/2023 14:17;Fortaleza;94016
248385;Baterias AAA (pacote com 4);1;15,39;20/10/2022 14:17;Fortaleza;94016
248386;Fones de ouvido com fio;1;61,74;21/07/2023 13:01;Manaus;10001
248387;Baterias AAA (pacote com 4);1;15,39;24/03/2023 08:43;São Paulo;90001
248388;Cabo de carregamento Lightning;1;76,99;02/03/2023 04:58;São Paulo;90001
248389;Secadora LG;1;3090;04/06/2023 06:10;Fortaleza;94016
248390;Cabo de carregamento Lightning;1;76,99;16/02/2023 12:14;Bahia;97035
248391;Fones de ouvido Bose SoundSport;1;514,94;21/06/2023 10:54;Fortaleza;94016
248392;Cabo de carregamento Lightning;1;76,99;23/05/2023 06:12;Salvador;2215
248393;Cabo de carregamento Lightning;1;76,99;06/03/2023 20:05;Belo Horizonte;98101
248394;Cabo de carregamento Lightning;3;76,99;05/06/2023 20:49;Florianópolis;75001
248395;Telefone Motorola X;1;2060;08/11/2022 04:11;Manaus;10001
248396;Laptop Macbook Pro;1;8755;27/06/2023 20:34;Manaus;10001
248397;Fones de ouvido com fio;1;61,74;03/01/2023 08:57;Manaus;10001
248398;Cabo de carregamento USB-C;1;61,54;16/05/2023 23:48;Fortaleza;94016
248399;Pilhas AA (pacote com 4);2;19,77;29/05/2023 15:43;Manaus;10001
248400;Fones de ouvido Apple Airpods;1;772,5;02/05/2023 23:57;Rio de Janeiro;73301
248401;Monitor FHD de 27 polegadas;1;772,44;16/03/2023 19:12;Belo Horizonte;98101
248402;Cabo de carregamento Lightning;1;76,99;29/07/2023 13:04;Campinas;30301
248403;Fones de ouvido com fio;2;61,74;01/08/2023 01:35;Fortaleza;94016
248404;Pilhas AA (pacote com 4);1;19,77;24/08/2023 22:17;Florianópolis;75001
248405;Pilhas AA (pacote com 4);1;19,77;30/07/2023 20:58;Manaus;10001
248406;Monitor ultralargo de 34 pol.;1;1956,94;03/07/2023 18:11;São Paulo;90001
248407;iPhone;1;9890;08/12/2022 01:08;Belo Horizonte;98101
248407;Cabo de carregamento Lightning;1;76,99;28/02/2023 14:34;Belo Horizonte;98101
248407;Fones de ouvido Apple Airpods;1;772,5;09/05/2023 19:27;Belo Horizonte;98101
248408;Baterias AAA (pacote com 4);1;15,39;12/12/2022 03:35;Salvador;2215
248409;Cabo de carregamento USB-C;1;61,54;11/11/2022 05:50;Rio de Janeiro;73301
248410;Fones de ouvido com fio;1;61,74;18/05/2023 07:04;Rio de Janeiro;73301
248411;TV de tela plana;1;1545;04/11/2022 12:20;Salvador;2215
248412;Fones de ouvido Apple Airpods;1;772,5;14/05/2023 06:07;Bahia;97035
248413;Laptop Macbook Pro;1;8755;16/05/2023 20:36;Campinas;30301
248414;Pilhas AA (pacote com 4);1;19,77;24/08/2023 04:13;Bahia;97035
248415;Cabo de carregamento Lightning;1;76,99;13/08/2023 05:27;Manaus;10001
248416;Cabo de carregamento Lightning;1;76,99;28/05/2023 00:45;Campinas;30301
248417;Fones de ouvido Bose SoundSport;1;514,94;09/02/2023 13:25;Florianópolis;75001
248418;Fones de ouvido Bose SoundSport;1;514,94;11/01/2023 18:57;Fortaleza;94016
248419;Cabo de carregamento USB-C;1;61,54;11/06/2023 18:56;Manaus;10001
248420;TV de tela plana;1;1545;07/09/2023 04:48;Bahia;97035
248421;Fones de ouvido com fio;1;61,74;08/05/2023 07:07;Belo Horizonte;98101
248422;Fones de ouvido Apple Airpods;1;772,5;26/05/2023 00:34;Fortaleza;94016
248423;Fones de ouvido Bose SoundSport;1;514,94;27/02/2023 16:24;Belo Horizonte;98101
248424;Cabo de carregamento Lightning;1;76,99;16/06/2023 18:56;Belo Horizonte;98101
248425;Fones de ouvido com fio;1;61,74;31/10/2022 13:13;Manaus;10001
248426;Cabo de carregamento USB-C;2;61,54;16/07/2023 02:57;São Paulo;90001
248427;Fones de ouvido com fio;2;61,74;17/09/2023 18:25;Fortaleza;94016
248428;Monitor de 20 polegadas;1;566,44;16/12/2022 13:14;Fortaleza;94016
248429;Fones de ouvido Bose SoundSport;1;514,94;25/12/2022 16:56;Belo Horizonte;98101
248430;Fones de ouvido Apple Airpods;1;772,5;05/03/2023 22:41;Manaus;10001
248430;Cabo de carregamento Lightning;1;76,99;23/10/2022 12:20;Manaus;10001
248431;Cabo de carregamento Lightning;1;76,99;25/01/2023 04:37;Salvador;2215
248432;Fones de ouvido Bose SoundSport;1;514,94;02/10/2023 17:10;São Paulo;90001
248433;Fones de ouvido Apple Airpods;1;772,5;25/06/2023 06:46;Salvador;2215
248434;Fones de ouvido Apple Airpods;1;772,5;07/03/2023 08:08;Salvador;2215
248435;Laptop Macbook Pro;1;8755;05/09/2023 00:59;São Paulo;90001
248436;Cabo de carregamento USB-C;1;61,54;15/07/2023 04:39;Fortaleza;94016
248437;Telefone Motorola X;1;2060;12/11/2022 01:32;Fortaleza;94016
248438;Monitor para jogos 4K de 27 polegadas;1;2008,44;09/05/2023 07:29;Bahia;97035
248439;Fones de ouvido com fio;1;61,74;14/11/2022 21:58;Salvador;2215
248440;Baterias AAA (pacote com 4);1;15,39;20/11/2022 04:09;Belo Horizonte;98101
248441;Monitor para jogos 4K de 27 polegadas;1;2008,44;01/11/2022 09:00;Campinas;30301
248442;Fones de ouvido com fio;1;61,74;26/05/2023 23:20;São Paulo;90001
248443;Laptop Macbook Pro;1;8755;10/12/2022 13:32;Salvador;2215
248444;Monitor ultralargo de 34 pol.;1;1956,94;05/07/2023 05:56;Manaus;10001
248445;Pilhas AA (pacote com 4);2;19,77;07/02/2023 03:47;Manaus;10001
248446;Baterias AAA (pacote com 4);2;15,39;18/06/2023 07:47;Bahia;4101
248447;Baterias AAA (pacote com 4);2;15,39;12/10/2022 09:26;Fortaleza;94016
248448;Cabo de carregamento Lightning;1;76,99;26/04/2023 21:02;Campinas;30301
248449;Cabo de carregamento Lightning;1;76,99;17/04/2023 02:22;Manaus;10001
248450;Fones de ouvido Apple Airpods;1;772,5;26/12/2022 15:15;Fortaleza;94016
248451;Baterias AAA (pacote com 4);2;15,39;03/01/2023 06:18;Fortaleza;94016
248452;Laptop Macbook Pro;1;8755;23/06/2023 10:55;Salvador;2215
248453;Baterias AAA (pacote com 4);1;15,39;10/07/2023 15:26;Salvador;2215
248454;Monitor para jogos 4K de 27 polegadas;1;2008,44;12/06/2023 15:49;Belo Horizonte;98101
248455;Cabo de carregamento USB-C;1;61,54;03/08/2023 19:43;Manaus;10001
248456;Cabo de carregamento USB-C;1;61,54;26/02/2023 21:35;Manaus;10001
248457;Cabo de carregamento USB-C;1;61,54;17/09/2023 10:26;Salvador;2215
